,co2
1971-12-01,325.925
1972-01-01,326.72
1972-02-01,327.625
1972-03-01,327.725
1972-04-01,329.64
1972-05-01,330.0
1972-06-01,329.075
1972-07-01,328.0400000000001
1972-08-01,326.25
1972-09-01,324.86
1972-10-01,325.3
1972-11-01,326.425
1972-12-01,327.54
1973-01-01,328.55
1973-02-01,329.475
1973-03-01,330.38
1973-04-01,331.575
1973-05-01,332.4
1973-06-01,331.94000000000005
1973-07-01,330.65
1973-08-01,329.325
1973-09-01,327.5
1973-10-01,327.225
1973-11-01,328.05
1973-12-01,328.64
1974-01-01,329.325
1974-02-01,330.625
1974-03-01,331.5
1974-04-01,332.625
1974-05-01,332.97499999999997
1974-06-01,332.15999999999997
1974-07-01,331.075
1974-08-01,329.21999999999997
1974-09-01,327.375
1974-10-01,327.375
1974-11-01,328.40000000000003
1974-12-01,329.675
1975-01-01,330.25
1975-02-01,331.3
1975-03-01,332.0
1975-04-01,333.275
1975-05-01,333.86
1975-06-01,333.4
1975-07-01,331.8
1975-08-01,329.97999999999996
1975-09-01,328.525
1975-10-01,328.325
1975-11-01,329.43999999999994
1975-12-01,330.775
1976-01-01,331.74
1976-02-01,332.54999999999995
1976-03-01,333.45000000000005
1976-04-01,334.45
1976-05-01,334.76
1976-06-01,334.40000000000003
1976-07-01,332.85999999999996
1976-08-01,330.725
1976-09-01,329.35
1976-10-01,329.1
1976-11-01,330.35
1976-12-01,331.625
1977-01-01,332.88
1977-02-01,333.425
1977-03-01,334.70000000000005
1977-04-01,336.04
1977-05-01,336.675
1977-06-01,336.20000000000005
1977-07-01,334.80000000000007
1977-08-01,332.875
1977-09-01,331.575
1977-10-01,331.2
1977-11-01,332.35
1977-12-01,333.86
1978-01-01,335.025
1978-02-01,335.35
1978-03-01,336.59999999999997
1978-04-01,337.64
1978-05-01,337.95000000000005
1978-06-01,337.92499999999995
1978-07-01,336.5
1978-08-01,334.65000000000003
1978-09-01,332.74
1978-10-01,332.65
1978-11-01,333.825
1978-12-01,334.96
1979-01-01,336.225
1979-02-01,336.7
1979-03-01,337.99999999999994
1979-04-01,338.875
1979-05-01,339.375
1979-06-01,339.23999999999995
1979-07-01,337.525
1979-08-01,336.025
1979-09-01,333.98
1979-10-01,333.95000000000005
1979-11-01,335.15
1979-12-01,336.65999999999997
1980-01-01,338.55
1980-02-01,339.27
1980-03-01,339.6
1980-04-01,339.99
1980-05-01,340.43
1980-06-01,339.99
1980-07-01,338.44
1980-08-01,337.21
1980-09-01,337.05
1980-10-01,337.82
1980-11-01,338.93
1980-12-01,339.64
1981-01-01,340.19
1981-02-01,340.75
1981-03-01,341.38
1981-04-01,341.68
1981-05-01,341.43
1981-06-01,340.62
1981-07-01,339.22
1981-08-01,338.08
1981-09-01,337.97
1981-10-01,339.07
1981-11-01,340.18
1981-12-01,340.75
1982-01-01,341.37
1982-02-01,341.95
1982-03-01,342.23
1982-04-01,342.52
1982-05-01,342.36
1982-06-01,341.49
1982-07-01,339.75
1982-08-01,338.11
1982-09-01,338.16
1982-10-01,339.62
1982-11-01,340.95
1982-12-01,341.77
1983-01-01,342.37
1983-02-01,342.74
1983-03-01,343.04
1983-04-01,343.51
1983-05-01,343.84
1983-06-01,343.5
1983-07-01,342.14
1983-08-01,340.62
1983-09-01,340.53
1983-10-01,341.75
1983-11-01,342.83
1983-12-01,343.49
1984-01-01,344.32
1984-02-01,344.82
1984-03-01,344.96
1984-04-01,345.19
1984-05-01,345.33
1984-06-01,344.57
1984-07-01,343.2
1984-08-01,342.21
1984-09-01,342.13
1984-10-01,342.99
1984-11-01,344.16
1984-12-01,345.0
1985-01-01,345.36
1985-02-01,345.8
1985-03-01,346.64
1985-04-01,346.94
1985-05-01,346.77
1985-06-01,346.26
1985-07-01,344.92
1985-08-01,343.41
1985-09-01,343.37
1985-10-01,344.64
1985-11-01,345.79
1985-12-01,346.55
1986-01-01,347.11
1986-02-01,347.34
1986-03-01,347.71
1986-04-01,348.22
1986-05-01,348.32
1986-06-01,347.76
1986-07-01,346.3
1986-08-01,344.92
1986-09-01,344.86
1986-10-01,346.04
1986-11-01,347.3
1986-12-01,347.76
1987-01-01,348.02
1987-02-01,348.57
1987-03-01,349.29
1987-04-01,349.98
1987-05-01,350.26
1987-06-01,349.48
1987-07-01,347.86
1987-08-01,346.61
1987-09-01,346.7
1987-10-01,347.97
1987-11-01,349.25
1987-12-01,350.21
1988-01-01,350.91
1988-02-01,351.47
1988-03-01,351.85
1988-04-01,352.3
1988-05-01,352.46
1988-06-01,351.76
1988-07-01,350.28
1988-08-01,349.1
1988-09-01,349.27
1988-10-01,350.44
1988-11-01,351.61
1988-12-01,352.46
1989-01-01,353.0
1989-02-01,353.46
1989-03-01,354.0
1989-04-01,354.38
1989-05-01,354.19
1989-06-01,353.26
1989-07-01,351.56
1989-08-01,350.21
1989-09-01,350.56
1989-10-01,351.85
1989-11-01,353.03
1989-12-01,353.9
1990-01-01,354.46
1990-02-01,354.87
1990-03-01,355.19
1990-04-01,355.5
1990-05-01,355.4
1990-06-01,354.33
1990-07-01,352.71
1990-08-01,351.58
1990-09-01,351.8
1990-10-01,353.19
1990-11-01,354.43
1990-12-01,355.18
1991-01-01,355.76
1991-02-01,356.19
1991-03-01,356.68
1991-04-01,357.19
1991-05-01,357.11
1991-06-01,356.17
1991-07-01,354.53
1991-08-01,353.05
1991-09-01,352.93
1991-10-01,354.0
1991-11-01,355.16
1991-12-01,355.95
1992-01-01,356.52
1992-02-01,356.88
1992-03-01,357.26
1992-04-01,357.75
1992-05-01,357.82
1992-06-01,356.87
1992-07-01,355.19
1992-08-01,353.68
1992-09-01,353.58
1992-10-01,354.8
1992-11-01,355.98
1992-12-01,356.74
1993-01-01,357.21
1993-02-01,357.55
1993-03-01,357.96
1993-04-01,358.43
1993-05-01,358.38
1993-06-01,357.34
1993-07-01,355.72
1993-08-01,354.44
1993-09-01,354.47
1993-10-01,355.7
1993-11-01,356.95
1993-12-01,357.85
1994-01-01,358.47
1994-02-01,359.01
1994-03-01,359.36
1994-04-01,359.71
1994-05-01,359.74
1994-06-01,358.81
1994-07-01,357.28
1994-08-01,356.06
1994-09-01,356.02
1994-10-01,357.26
1994-11-01,358.69
1994-12-01,359.55
1995-01-01,360.13
1995-02-01,360.61
1995-03-01,361.08
1995-04-01,361.55
1995-05-01,361.47
1995-06-01,360.61
1995-07-01,358.99
1995-08-01,357.73
1995-09-01,358.05
1995-10-01,359.43
1995-11-01,360.77
1995-12-01,361.65
1996-01-01,362.14
1996-02-01,362.5
1996-03-01,362.82
1996-04-01,363.14
1996-05-01,363.29
1996-06-01,362.88
1996-07-01,361.57
1996-08-01,360.07
1996-09-01,359.7
1996-10-01,360.67
1996-11-01,361.78
1996-12-01,362.63
1997-01-01,363.28
1997-02-01,363.65
1997-03-01,364.03
1997-04-01,364.51
1997-05-01,364.51
1997-06-01,363.6
1997-07-01,361.93
1997-08-01,360.41
1997-09-01,360.41
1997-10-01,361.94
1997-11-01,363.61
1997-12-01,364.68
1998-01-01,365.19
1998-02-01,365.46
1998-03-01,365.93
1998-04-01,366.58
1998-05-01,366.86
1998-06-01,366.27
1998-07-01,364.84
1998-08-01,363.79
1998-09-01,364.04
1998-10-01,365.34
1998-11-01,366.6
1998-12-01,367.47
1999-01-01,368.12
1999-02-01,368.52
1999-03-01,368.91
1999-04-01,369.3
1999-05-01,369.21
1999-06-01,368.36
1999-07-01,366.69
1999-08-01,365.32
1999-09-01,365.44
1999-10-01,366.75
1999-11-01,368.05
1999-12-01,368.88
2000-01-01,369.39
2000-02-01,369.65
2000-03-01,369.98
2000-04-01,370.35
2000-05-01,370.25
2000-06-01,369.31
2000-07-01,367.91
2000-08-01,366.75
2000-09-01,366.7
2000-10-01,367.91
2000-11-01,369.28
2000-12-01,370.1
2001-01-01,370.68
2001-02-01,371.17
2001-03-01,371.59
2001-04-01,371.9
2001-05-01,371.8
2001-06-01,370.85
2001-07-01,369.46
2001-08-01,368.32
2001-09-01,368.36
2001-10-01,369.71
2001-11-01,371.04
2001-12-01,371.96
2002-01-01,372.51
2002-02-01,372.91
2002-03-01,373.38
2002-04-01,373.72
2002-05-01,373.7
2002-06-01,372.84
2002-07-01,371.41
2002-08-01,370.37
2002-09-01,370.69
2002-10-01,371.96
2002-11-01,373.29
2002-12-01,374.26
2003-01-01,374.94
2003-02-01,375.47
2003-03-01,375.92
2003-04-01,376.4
2003-05-01,376.55
2003-06-01,375.72
2003-07-01,374.17
2003-08-01,372.94
2003-09-01,373.11
2003-10-01,374.39
2003-11-01,375.67
2003-12-01,376.53
2004-01-01,377.21
2004-02-01,377.73
2004-03-01,378.16
2004-04-01,378.48
2004-05-01,378.4
2004-06-01,377.51
2004-07-01,375.96
2004-08-01,374.49
2004-09-01,374.39
2004-10-01,375.73
2004-11-01,377.2
2004-12-01,378.17
2005-01-01,378.73
2005-02-01,379.27
2005-03-01,379.87
2005-04-01,380.32
2005-05-01,380.42
2005-06-01,379.6
2005-07-01,377.94
2005-08-01,376.73
2005-09-01,376.76
2005-10-01,378.07
2005-11-01,379.53
2005-12-01,380.53
2006-01-01,381.33
2006-02-01,381.95
2006-03-01,382.34
2006-04-01,382.67
2006-05-01,382.63
2006-06-01,381.76
2006-07-01,380.07
2006-08-01,378.48
2006-09-01,378.63
2006-10-01,380.08
2006-11-01,381.44
2006-12-01,382.39
2007-01-01,383.03
2007-02-01,383.55
2007-03-01,384.02
2007-04-01,384.28
2007-05-01,384.13
2007-06-01,383.26
2007-07-01,381.55
2007-08-01,380.29
2007-09-01,380.68
2007-10-01,382.1
2007-11-01,383.45
2007-12-01,384.46
2008-01-01,385.23
2008-02-01,385.74
2008-03-01,386.15
2008-04-01,386.53
2008-05-01,386.48
2008-06-01,385.57
2008-07-01,384.1
2008-08-01,382.77
2008-09-01,382.55
2008-10-01,383.67
2008-11-01,385.18
2008-12-01,386.27
2009-01-01,387.03
2009-02-01,387.48
2009-03-01,387.71
2009-04-01,387.99
2009-05-01,387.95
2009-06-01,386.96
2009-07-01,385.01
2009-08-01,383.62
2009-09-01,383.93
2009-10-01,385.5
2009-11-01,386.94
2009-12-01,387.84
2010-01-01,388.62
2010-02-01,389.33
2010-03-01,389.68
2010-04-01,389.98
2010-05-01,389.95
2010-06-01,389.01
2010-07-01,387.35
2010-08-01,386.23
2010-09-01,386.7
2010-10-01,388.25
2010-11-01,389.62
2010-12-01,390.36
2011-01-01,390.93
2011-02-01,391.35
2011-03-01,391.67
2011-04-01,392.05
2011-05-01,392.07
2011-06-01,391.13
2011-07-01,389.19
2011-08-01,387.86
2011-09-01,388.26
2011-10-01,389.83
2011-11-01,391.2
2011-12-01,392.04
2012-01-01,392.61
2012-02-01,393.2
2012-03-01,393.73
2012-04-01,393.99
2012-05-01,393.88
2012-06-01,392.84
2012-07-01,391.0
2012-08-01,389.89
2012-09-01,390.55
2012-10-01,392.16
2012-11-01,393.56
2012-12-01,394.39
2013-01-01,395.07
2013-02-01,395.7
2013-03-01,396.29
2013-04-01,396.74
2013-05-01,396.75
2013-06-01,395.96
2013-07-01,394.47
2013-08-01,393.24
2013-09-01,393.21
2013-10-01,394.51
2013-11-01,395.97
2013-12-01,396.88
2014-01-01,397.51
2014-02-01,397.97
2014-03-01,398.27
2014-04-01,398.63
2014-05-01,398.69
2014-06-01,397.73
2014-07-01,396.13
2014-08-01,395.02
2014-09-01,395.12
2014-10-01,396.38
2014-11-01,397.86
2014-12-01,398.84
2015-01-01,399.56
2015-02-01,400.12
2015-03-01,400.57
2015-04-01,400.96
2015-05-01,400.91
2015-06-01,400.06
2015-07-01,398.37
2015-08-01,397.06
2015-09-01,397.34
2015-10-01,398.8
2015-11-01,400.36
2015-12-01,401.66
2016-01-01,402.61
2016-02-01,403.25
2016-03-01,403.84
2016-04-01,404.36
2016-05-01,404.4
2016-06-01,403.62
2016-07-01,402.1
2016-08-01,400.78
2016-09-01,400.95
2016-10-01,402.4
2016-11-01,403.76
2016-12-01,404.67
2017-01-01,405.32
2017-02-01,405.91
2017-03-01,406.32
2017-04-01,406.61
2017-05-01,406.65
2017-06-01,405.86
2017-07-01,404.11
2017-08-01,402.57
2017-09-01,402.66
2017-10-01,404.16
2017-11-01,405.7
2017-12-01,406.75
2018-01-01,407.53
2018-02-01,408.23
2018-03-01,408.77
2018-04-01,409.07
2018-05-01,408.97
2018-06-01,408.1
2018-07-01,406.48
2018-08-01,405.11
2018-09-01,405.18
2018-10-01,406.65
2018-11-01,408.12
2018-12-01,409.19
2019-01-01,409.92
2019-02-01,410.34
2019-03-01,410.89
2019-04-01,411.33
2019-05-01,411.34
2019-06-01,410.53
2019-07-01,408.88
2019-08-01,407.65
2019-09-01,407.92
2019-10-01,409.44
2019-11-01,410.87
2019-12-01,411.76
2020-01-01,412.43
2020-02-01,412.95
2020-03-01,413.44
2020-04-01,413.86
2020-05-01,413.81
2020-06-01,412.88
2020-07-01,411.17
2020-08-01,409.73
2020-09-01,410.0
2020-10-01,411.66
2020-11-01,413.25
2020-12-01,414.14
2021-01-01,414.78
2021-02-01,415.28
2021-03-01,415.61
2021-04-01,415.92
2021-05-01,416.12
2021-06-01,415.31
2021-07-01,413.55
2021-08-01,412.19
2021-09-01,412.4
